,mbti,title,content,mbti_label,e_i,n_s,f_t,j_p
252,intj,ntj분들 내가 좋아하는 사람 vs 나를 좋아하는 사람과 연애,저는 저를 좋아하는 사람과의 연애가 좋네요 굳이 상대가 저 좋아하지도 않는데 거기다가 에너지 쓰고 싶지가 않아요,10,0,1,0,1
253,intj,F와 연애하기 위해 늘 생각하는 것,"말 예쁘게 하기 표현 많이 해주기 갈등 상황에서 차분하게 대처하기 하지만 정작 닥치면 쉽지 않은, 가장 어려운 1번",10,0,1,0,1
254,entj,엔티제 분들 중에 그닥 외향적이지 않은 분들도 계신가요?,"저는 mbti라는 걸 해본 이래 한 번도 entj에서 벗어난 적이 없는 골수 entj 여자입니다 어디에서 어떤 테스트를 해도 entj가 나오기는 하는데, i랑 e가 늘 4 5 정도로 나와서 그런지 제가 entj 치고 사교성이 덜하다고도 생각되네요 다른 사람을 어려워하지는 않고, 누굴 만나도 쉽게 친해지는 편인데 문제는 사람 만나는 걸 별로 좋아하지 않는다는 점입니다 누굴 만나서 굳이 친하게 지낼 필요성을 못 느끼고, 같이 무언가를 하는 것에 의미를 두지 않는 편인데 다른 entj 분들 보면 엄청 활달하신 것 같더라고요 일이나 공부하는 시간 외에는 나가서 노는 것보다 혼자 재충전하는 게 편하고 사람 사귈 생각이 전혀 안 듭니다 별로 도움도 안 될 인맥 같고 시간 낭비 같은 느낌만 들고요 몇 번을 테스트해도 e 유형이 나오는데 혹시 entj 분들 중에서 저처럼 덜 외향적인 분들도 계신가요",2,1,1,0,1
255,enfp,모든 T분들의 조언을 듣고싶어요(엔티제 환영),회사 내에서 편애를 받는다면 어떻게 대처하시나요 예를 들어 선배 a 에겐 신경질적이 신분이 여러분에겐 다정하다면요 그것도 선배와 나 상사가 같이 있는 순간 태도 변화가 두드러진다면 저는 웃으면서 장난스러운 분위기를 유도해 넘기는 편인데 태도를 달리하고 싶어서요 말리는 시누이가 더 짜증 난다잖아요 어떤 식으로 구는 게 좋을까요,1,1,1,1,0
256,enfp,엔프피가 바라보는 엔티제 최대 장점,"책임감 일이든 인간관계든 자기가 선택했고, 정한 거라면 끝까지 끌고 가려는 편 친구, 애인 관계도 자기가 괜찮은 사람이다 판단했고 내 바운더리에 넣기로 결정한 사람이라면 그 콧대 높고 냉랭하기로 악명 높은 엔티 제도 쓸데없는 아집, 자존심 모두 내려놓고 웬만하면 다 맞춰주고 배려해주고 져주는 거 같아요 관계에 대한 책임감이 베이스로 깔려있는 모습 그래서 의외로 entj가 사랑꾼 로맨티시스트로 꼽히는 것 같습니다. 의리 책임감 자신의 판단은 틀리지 않을 거라는 자신감 이 세 개가 합쳐져서 인간관계에서 좋은 모습을 보이는 것 같아요",1,1,1,1,0
257,istp,01. entj 외유내강 덕질,"전에 있던 덕질은 외유내강 entj 모음에 다 넣었습니다. 꼰대, 태생부터 꼰대임 관심 없는 사람에게는 영혼 없는 리액션, 자기 사람에게는 너무 부담스러울 만큼 리액션 세상 솔직함 그래서 어쩔 때는 상처받음 반복되는 하루는 싫어함 항상 새로웠으면 좋겠음 항상 어디를 가던 일상을 공유함 보고하듯이 차분하고 신중함 그런데 열정적임 놀 때는 정말 빡세게 땀 뻘뻘 흘리며 놀음 미친놈 역할 재밌음 감정의 변화가 심함 질투 많음 겁나 많음 티 낼 때가 더 많음 1 계획은 머리로 a a b c b a b c ~~ 이렇게 하는 스타일",15,0,0,0,0
258,enfp,인티제는 언제가 가장 행복해요???? ☺,혼자 집에서 쉴 때 아무도 날 건들지 않을 때 이런 것은 아니겠쥬 ㅠㅠ 저 아무 말 대잔치 잘하거든요 ㅋㅋㅋ 크흡 제 intj 전엔 아무 말 대잔치 하면 이랬는데 요즘엔 그래도 요 정돈 웃어주는 거 같아요 ㅋㅋㅋ 엠헬 보면 인티 아제들 아무 말 대잔치 별로 관심 없던데 제 intj 아무 말 대잔치에 웃어주는 이유가 웃겨서 웃는 건가요 예의상 웃어주는 건가요 어이가 없어서 웃는 건가요 아무렴 어때요 그냥 웃으면 좋아요 귀여워요 이런 아무 말로 나 웃게 해주는 거 말 고오... 찐 행복을 알려주고 싶은데 방법이 뭘까요 인티 제드의 행복 기준은 뭐예요 전 좋은 사람과 맛있는 거 먹거나 예쁜 풍경 보면서 풀 냄비나 맡는 게 행복이에요 ㅋㅋㅋ 근데 인이 제들이랑은 너무 달라서 ㅠㅠ 좀 알랴주세요,1,1,1,1,0
259,enfp,엔티제에게 카톡 프사란..?,"entj 여성분들은 카톡 프사나 프로필 음악에 의미를 두시나요 지금까지 엄청 의미를 두는 사람만 만나 오다가, entj를 만나는데.. 아까 보니 카톡 프사와 프로필 뮤직이 다 내려가 있더라고요.. 의미 안 두는 사람인 건 알지만, 그래도 불안하네요.. 여러분들은 어떤가요",1,1,1,1,0
260,estj,Entj 남자 연락,소개팅으로 한 번 만난 분이 entj인데요. 애프터 잡은 상태고 오늘 아침에 먼저 톡 와서 연락 중인데.. 답장 텀은 빠른 편인데 뭐랄까 카톡 대화가 정성스럽지 않은 느낌 ㅋㅋㅋ 그냥 제가 하는 말에 반응해주는 정도고 아주아주 가끔씩 정말 궁금한 거 있을 때만 질문하는 거 같은데.. 이것도 entj 특징인가요 말이 엄청 많거나 질문을 많이 안 해서 머라 답장해야 할지 하는 순간들이 오네요... ㅋㅋㅋ,6,1,0,0,1
261,enfp,Intj 가 바쁘면,누구나 그렇겠지만 눈뜨면 연락하고 자기 전에 연락하던 짝꿍이 요즘 바빠져서 연락이 많이 줄었어요 하루에 연락 한두 번은 하고 있는데 오늘은 일어나서 지금까지 아무 연락이 없네요... 바빠서 그런 거겠죠 누가 삼 개월 때부터 자기 intj 남자친구가 연락도 줄고 변했다고 하던데 저희도 딱 3개월이거든요 그냥 단순히 바빠서 여유가 없어서 그런 거겠죠,1,1,1,1,0
262,isfj,지금 썸남이 ENTJ인데요!!,"저랑 썸남 둘 다 f랑 t 반반 나와요 isfj여 랑 entj 남 잘 맞을까요 지금 대화도 잘 통하고 재밌는데 그냥 초반이라 그런 것은 가 싶기도 해서..ㅎㅎ 그리고 entj 특징, 엔티 제분들이 좋아하시는 이성 타입, 말투, 성격 등등 짧아도 좋으니 적어주시면 감사하겠습니다 아니면 entj 이성 분과 만나보신 분들 경험담 같은 것도 너무 좋아요",12,0,0,1,1
263,enfp,제가 속좁은걸까요?ㅠㅠ,"오늘이 제 생일인데... 저가 좋아하는 사람한테 제일 먼저 축하받고 싶고 선물은 바라지도 않지만 그냥 말이라도 정성스럽게 저한테 축하해줬으면 바랬는데... 그 사람이 바쁜 거 머리로는 알겠는데 잊어버려다가 카톡에 제 생일 뜨는 거 보고 연락한듯해요... 아침에 굿모닝이 오고 한참 뒤에야 생일 축하해 이모티콘이 끝이었거든요,,, ㅠ.ㅠ entj 님들 연인들 생일 잘 잊어버리나요 ... 중요하게 생각 안 하는 편인가요 ㅠㅠ",1,1,1,1,0
264,istp,entj 이상형 말 할 때,"구체적으로 말하는 편 ex 키는 188에 bmi는 체지방은 1에 몸무게는.. 허리둘레는... 얼굴은 하나하나 세세하게 까지는 아니어도 좀 구체적이게 단순하게 말하는 편 ex 서강준, 키는 그냥 180 정도에 성격 무난하고~ 얼굴은 그냥 아무나 괜찮아",15,0,0,0,0
265,intj,혹시 저같은 인티제분 계신가요?,"멀쩡하게 살다가... 갑자기 아무 이유 없이 스트레스 많이 받는 분 계시나요. 한두 번도 아니고 며칠 간격으로 갑자기 무기력해지면서 과호흡 같은 증상도 같이 나타나니까... 이 증상마저도 스트레스에요 혹시 계신다면.. 어떻게 극복하셨는지, 또는 같은 intj로써 조언 한 마디만 부탁드리겠습니다ㅠㅠ",10,0,1,0,1
266,enfj,인티제 남친과 헤어졌어요.,결국 넘지 말아야 할 선을 넘어서 헤어졌어요. 자기가 경험이 부족해서 미안하다 다시 잘 해보고 싶다고 하는데 저는 이미 마음이 떠나버렸네요. 그렇지만 만난 기간도 있고 아직 헤어진 지 얼마 안 돼서 생각나고 저도 슬퍼요 언제쯤 다른 사람을 만나도 될 정도가 되려면 얼마나 흘러야 할까요,0,1,1,1,1
267,enfp,엔티제는 선의의 거짓말 잘 하나요??,"표현력이 부족한 건 알겠는데 entj는 사랑한다, 보고 싶다 이런 말들을 선의의 거짓말로 할 수 있나요 궁금해지네요",1,1,1,1,0
268,isfj,entj 엔티제가 어려운 잇프제,mbti에 심취한 이후로 다가오는 남자들한테 mbti를 꼭 물어보는데 요즘 들어 더더 entj 남자들이 많아요. 썸남 4명이 연달아 entj라고 하니까 이 사람들이 진짜 entj여서 entj라고 하는 건가 싶을 정도에요ㅠㅠㅋㅋ 근데 entj는 항상 어려워요ㅠㅠ 처음에 엔티 제인 줄 모를 때는 이해가 안 되던 부분들이 이제는 다 이해할 수 있는데 너무 entj한테 맞춰주려고 하다 보니 저의 잇츠제로서의 매력을 잃는 것 같아요ㅎㅎ 확실히 비슷한 성향끼리 만나면 편하고 금방 가까워지는 대신 호감도가 떨어지고 entj처럼 약간 상극인 사람들은 너무 매력적인데 길게 관계를 이어나가기가 힘든 거 같아요..,12,0,0,1,1
269,intj,인티제인데 잇프피 앞에서는 엄청 리드하고 들이대게 되네요.,저한테 엘프 피가 들이대는 경우 되게 많고 그들이 저에게 관심 많은 거 같아 솔직히 오 신기하다 싶은 차에 의외로 잇 포피나 isfj들에게 제가 되게 들이대고 말도 많아져요. 다른 인티 제분들도 그렇나요 전 사회화된 intj 같아요. 여러 번 해봐도 늘 intj인데 intj a가 나오네요.,10,0,1,0,1
270,intp,intj 남사친이랑 친해진건가요,2년전쯤부터 알고 지내서 나름 친하게 지낸다고 생각 중인데 맞나요 아이고 이 와중에 비밀로 키보드 키가 두 번씩 입력돼서 마지막 카톡 애교스럽게 보일 수 있는데 절대 아닙니다,11,0,1,0,0
271,estj,INTJ분덜~~~~,"intj가 다른 누군가 게게 자신의 힘든 부분,. 을 구체적이고 솔직하게 털어놓을 땐 구냥 털어놓을 사람이 필요해서 말하는 건가요 아님 위로나 구체적인 해결책이 필요해서인가요... 만약 위로나 해결책이 필요하다면 감정적으로 아 그래서 힘들었겠구나,, ㅜㅡㅜ 이케 공감해주는 게 더 좋을까요 아니면 가만히 들어주고 그런 일이 있었구나 하는 게 좋을까요 아니면 흠 그 일은 이렇게 이렇게 저케저케 해보면 더 나으려나,, 이렇게 더 나은 방향 해결책을 같이 고민해주는 게 더 좋을까요",6,1,0,0,1
272,infp,Entj 엔티제분들 질문 있어요,entj 이상형을 보면 공통적으로 나오는 말이 배울 점이 있는 사람이더라고요 entj는 완벽하려고 노력하는 사람이라고 알고 있는데 상대방에서 어떤 점을 배우고 싶어 하는지 궁금해졌어요~ 혹시 예시를 들을 수 있을까요 ㅎㅎ 너무 궁금해요 대답해주시면 감사합니다,9,0,1,1,0
273,enfp,Entj님들 질무운,entj 님들은 언제쯤 내가 이 사람을 좋아하는구나 하고 느끼게 되나요 그리고 이상형은 대체로 어떤 사람이며 상대를 좋아하게 되는 계기가 따로 있을까요 entj도 누군가를 좋아하면 감정적이게 되겠죠,1,1,1,1,0
274,infp,intj 남친 연락,재회한지 이제 일주일 정도 된 커플인데 전에도 연락 문제로 많이 싸워서 이젠 나도 여유로워져야겠다 싶어서 신경 안 쓰려고 하는데 너무 짜증이 납니다 남자친구가 친구들이랑 서핑하러 놀러 갔는데 오늘 하루 종일 한 연락이 저게 다예요 전화 한번 없고 오후 7시에나 연락 오고 아무리 논다 그래도 이것은 너무 관심이 없는 거 아닌가 싶고 저 성의 없는 루피들이 너무 짜증 나요 ㅋㅌㅋㅋ 휴 ㅠ 당장이라도 서운하다고 와 다다다 쏘고 싶은데 또다시 반복하기는 싫고 .. ㅠ 놀러 간 거니깐 제가 이해해야 하는 거겠죠,9,0,1,1,0
275,intj,친해지고 싶어요,"사회에서 다양한 사람을 만나면서 주변에서 종종 진짜 제목 그대로 님이랑 친해지고 싶어요, 우리 같은 용소 속인데 친하게 지내요, 우리 친한 거 맞죠 이런 말을 여러 사람한테 혹은 링 한 사람한테서도 자주 들어요 저랑 비슷한 상황 많으신가요 그럴 때 어떻게 반응해주시는가요ㅠㅜㅠ 일단, 저는 아 그럼요 우리 친하게 지내요ㅎㅎ _ ... 이러고만 말아요. 그러면 상대방은 ㅡㅡ 이런 듯한 목적 달성 못한 찜찜한 눈빛으로 보더라고요 어떻게 생각하세요 다른 intj분들은 그런 상황에서 대화를 어떻게 이어가시는지 혹은 저런 말 들으면 어떤지 궁금해요. 다른 유형분들도 비슷한 일이 있으면 어떠신가요",10,0,1,0,1
276,entj,엔티제 분들 학원가는거 좋아해요?,뭔가 지식이 필요할 때 학원 가서 수업 듣는 편인가요 혼자 필요한 거 독학으로 깨우치는 편인가요 전 기본적으로 누가 저를 가르치는 거 별로 안 좋아하는 듯요. 특히 수업 중 쓸데없는 얘기하는 거 너무 싫고 내가 필요한 거 궁금한 거 빨리 알려달라~ 이런 마인드라 학원 수업은 영~ 저랑 맞지 않았던 거 같아요. 진짜 궁금한 거 있으면 그냥 독학으로 배우는 편입니다. 네이버 지식인이나 유튜브 보고 배운 건데도 심지어 완벽하게 배워요. 가끔 천재인가 싶기도 하고 거울 보며 가끔 이런답니다.,2,1,1,0,1
277,intj,인티제분들 어떨때 심연에 가깝다 생각하시나요.,"개인적으론 정해진 미래, 불가항력 등을 생각할 때 그렇다 느낍니다. 이것이 생물학적 요인에 기인할 때도 있고요. 예로 들어 mbti란 틀은 결국 인간이 행동하게 되는 사고는 이런 식으로 나뉘었고 이에 기인하여 사건에 대해 반응하고 대응을 하면서 어떤 비선형적인 움직임을 만들어내지만 결국엔 어떠한 결과에 수렴하게 된다는 이야기죠. 그리고 이를 피할 수 없을 때라던가. 혹은 늙어가는 육체에서 보이는 여러 가지 현상들, 예를 들어 지방질 소화 능력이 감퇴했을 것으로 추정 가능하여 유독 해외여행을 가서도 라면이나 김치를 찾는 늙은 사람들을 바라볼 때 밀려드는 필멸자로서의 숙명이라던가.. 멜 서스트랩에 갇혀있던 인간의 역사라던가, 정해진 기업가치의 시가총액에 수렴해가는 기업들이라던가..",10,0,1,0,1
278,entj,엔티제 복수 썰 있나요,제발... 아르바이트 갔다가 일하는 거 암 걸리게 하는 사람 땜에 겁나 갑갑해요... 제발 간접 사이다 썰 들려주세요... 리액션 제대로 해드릴게요...,2,1,1,0,1
279,intj,Infp 콜렉터,i와 e가 비슷한 intj입니다만 알고 보나 주위에 infp 밭에 있는 걸 깨달았습니다.. 10년 된 절친 두 명도 infp고 찾기 힘들다는 infp 남자인 친구도 있네요 총 7명 정도.. 6명은 맞는데 더 있을 것 같아요.. 풍성한 밭을 일구기 위하여 노력해보겠습니다,10,0,1,0,1
280,entj,엔티제 여자분들 들어와주세요!,연애하실 때 어떤 유형과 가장 잘 맞으셨나요 저는 외향 유형한테 끌리는데 entp esfp는 안 맞았던 거 같아요ㅎㅎ,2,1,1,0,1
281,intp,남자분들 질문이 있어요,군번줄에 크게 애착 없나요 버려도 상관 무인 가요 첫사랑 군번줄이 2개나 저한테 있는데 애매하네요.. 버리기도 뭐 하고.. ㅋㅋㅋ,11,0,1,0,0
282,intj,블로그하시는 분 계실까요?,intj가 가끔 나오는데 이분들 어디 가야 볼 수 있는지 몰라서요.. 저도 블로그는 하고 있습니다,10,0,1,0,1
283,isfp,남자친구가 entj 인데 화푸는방법,장거리 연애 중인 커플이기 때문에 잘 만나지 못하는데.. 저는 약간 e 49퍼 i 51퍼가 나올 때도 많고 반대로 나올 때도 있고 약간 e i 반반인 것 같은데 남자친구는 entj예요 저는 화가 나도 시간만 지나면 금방 풀리는 성격인데 남자친구는 한번 화나면 너무 풀기가 힘들어요. 카톡은 하는데 단답으로 답장하고 답답해 죽을 노릇입니다. 어떻게 풀어줘야 하나요.. entj에게 사과하는 방법을 알려주세요.,13,0,0,1,0
284,enfp,엔티제 분들 고민 잘 들어주는 편인가요??!,들어준다기보다는... 뭐라고 해야 하지 남의 고민에 관심을 가지시나요 관심만 있고 들어주는 건 싫다거나... 이런 거 다 말씀해 주세요,1,1,1,1,0
285,entj,"회사생활 잘하는 entj여러분, 협업을 잘할 수 있는 조언좀 부탁 드립니다 ㅠㅠ","회사생활 잘하는 entj 여러분, 협업을 잘할 수 있는 조언 좀 부탁드립니다 ㅠㅠ 조직생활 부적응자로 요즘 너무 어렵네요 ㅠㅠ",2,1,1,0,1
286,entj,"ENTJ 직장생활 한계, 무력감을 느낄 때 어떻게 하시나요?","entj 직장생활 한계, 무력감을 느낄 때 어떻게 하시나요 지금 상사가 entj 랑 왠지 제일 안 맞는 유형인 것 같아요...... 아침에 업무 내용이 퇴근 전에 바뀌고, 바뀌고 나서 또 저한테 알아서 하라고 하고.. 이런 일이 자주 반복되니 제가 미치겠네요 ㅠㅠ 말할 때 불쑥 공격적이게 되기 지도 하고 퇴근 후 무력감에 빠져요...... entj 조직생활 한계일까 싶고요.. 회사 다니는 한계를 요즘 뼈저리게 느낍니다.",2,1,1,0,1
287,enfp,INTJ 여성분들 질문 좀 드릴게요!!,소개팅으로 intj 분을 만났는데 3번째 만남에서 그날 표정이 되게 안 좋으셨는데 저녁 먹을 때는 그래도 이야기 많이 한 것 같네요 그리고 저녁 먹고 커피 마시면서 산책하자고 하려 했는데 바로 택시를 잡으시더라고요ㅋㅋㅋ 집 가는 방향이 같아서 택시를 같이 타긴 했는데 너무 어이없어서 왜 그런지 물어보지도 못했네요 헤어지고 집 잘 들어갔냐고 물으니 오늘 너무 피곤해서 미안했다고는 하는데ㅋㅋ 피곤한 것보단 저한테 관심이 없어서 그런 거겠죠 ㅎㅎ,1,1,1,1,0
288,entj,엔티제 남자분들 질문이에요!!!!!,"궁금한 건 못 참는 entj녀라ㅋㅋㅋ entj 남은 토론하는 걸 좋아하나요 그 토론을 했을 시 결과가 본인이 원하는 방향이 아니더라도 인정을 잘하시나요 저는 의외로 인정이 킹으로 빠른 타입이라 상대방의 의견이 효율적이면 바로 킹 정해버리는데 entj 남자들도 그런지 궁금해요 제 주변 entj 남자들은 본인만의 곤조,,랄까 그런 게 있어서요 ㅋㅋㅋ 엠헬 entj 남분들은 어떨지 궁금해요 p.s 떡볶이도 좋아하시는지,,",2,1,1,0,1
289,intj,문득 깨달은 사실🕊,분명 중1 때만 해도 밤에 혼자 자는 게 너무 무서워서 한여름에도 이불 뒤집어쓰고 벽에 등 밀착한 채로 잤었는데.. 이제는 그냥 자도 전혀 안 무섭다. 퇴마 시뮬레이션을 너무 많이 돌렸나..,10,0,1,0,1
290,infp,이럴땐 어떻게 해야되나요?(INTJ),앞 내용은 전 게시글 참고 부탁드려요 전 게시글 이후로 일주일 정도 기다리다가 푹 쉬고 연락 달라고 했는데 10일 넘게 연락이 없어서 제가 먼저 잘 지내시냐고 연락하니까 거의 24시간 정도 지나서 답장이 이렇게 왔어요 전 intj가 3월부터 바쁘긴 했고 지금 더 바쁘지만 덜 바빠질 때까지 기다릴 의향이 있는데 아무런 대화나 상의 없이 기다려야 하는 상황이 오니까 너무 불안해요 상대방은 관계를 끝내길 바라는 것 같기도 한데 솔직히 무슨 생각을 하고 있는지 모르겠어요 이럴 때 어떻게 해야 할까요,9,0,1,1,0
291,intj,인티제님들 스트레스 어떻게 푸세요?,혼자 살아서 집에 있기만 해도 힐링 자체이긴 한데 코로나가 장기화되다 보니 집에 있는 게 좀 답답하네요 평소에 집에 있어도 시간 가는 줄 모르고 이것저것 사부작 거리긴 하는데 스트레스가 풀리는 느낌은 아니거든요 그래서 밖에 나가면 주로 북 카페나 드라이브하러 가지만 뭔가 다른 걸 해보고 싶은데 다른 분들은 어떻게 푸시는지 궁금해요,10,0,1,0,1
292,entj,게으름을 극복하는 방법 좀 공유해주십쇼!!!,원래 제가 게으르진 않았고 유혹을 떨쳐낼 수 있는 절제력을 가지고 있었는데 최근에 자신감이 바닥이 되면서 전 거의 한 달째 집 밖에서 나오지 않는 사람이 되었어요. 그리고 스스로 한심해서 실망하고 잠을 잘 수가 없어요.. 극복하고 싶은데 쉽지 않네요.. 의지력이 부족한 걸까요.. 요즘 정말 아무 생각 없이 사네요.. 우울합니다.. 여러분 게으름을 극복할 수 있는 방법을 알려주세요 또는 도와주세요,2,1,1,0,1
293,entj,sns에 집착하는건 뭘까요?,sns에 집착하는 건 뭘까요 단순한 sns 중 독일까요 엔티 제인 저는 페북은 지운지 오래고 곧 인스타도 지울 계획인데 하나하나 사사건건 모든 일을 sns에 업으로 하는 사람을 보면 진짜 신기해요 진짜 무슨 이유로 올리는 걸까 늘 고민하는데 이유를 잘 모르겠네요 여러분들은 어떻게 생각하시나요,2,1,1,0,1
294,intj,INTJ 분들 인생영화 있나요?,"영화 보는 거 엄청 좋아했는데, 요즘 딱히 끌리는 게 없어서 추천한 번씩 해주세요",10,0,1,0,1
295,intj,인프피 재질 인티제 분들 안 계시나요,"혹시 infp 재질 intj 분들 안 계시나요. 이거 말이 애매하긴 한데 자기한테는 현실적이고 이성적인데 영화 보면 감성 터지고, 게으른데 또 계획 세운건 꾸역꾸역 한 그런 성격 분들 계시나요. 저 mbti 검사를 10번 하면 7번은 intj, 3번은 infp 나오는데 저만 그런지 묻고 싶었어요. 꼭 infp 아니더라도 xxxx 재질 intj 분들 있으신지 궁금해요",10,0,1,0,1
296,entj,같은 엔티제분들 궁금해요,스트레스받을 때 어떻게 마인드 컨트롤하세요 보통 엔이 제들은 스트레스받을 때 친구들에게 이야기 잘 안 하게 되지 않나요 저도 그런 과인데 요즘 스트레스를 받는데 해결할 수가 없어서 더 답답해요 아니면 연애에 대해서 스트레스받을 때 마인드 컨트롤하시는 방법이나 외부 여건에 의해서 스트레스받을 때 해결하는 방법 있으세요,2,1,1,0,1
297,entj,암기를 못하는 entj,어떻게 공부해야 될까요 ......... 공부를 할 때마다 단어 하나하나 다 분석하느라 저도 제가 피곤한데 이해를 해야 외우지.... 한 달 뒤 자격증 시험 치는데 갑자기 걱정됨... 문제집 살 때까진 몰라서 모르는 거지하면 된다 이러고 사놓고선 머리가 안 도와줘요... ㅋㅋㅋ ㅋㅋㅋ,2,1,1,0,1
298,entj,엔티제 분들 소설책 읽는 거 좋아하십니까?,기본적으로 책 읽는 거 별로 안 좋아하는데 그나마 경영 경제 관련 책들은 가끔 보는 편인데요 연애소설 같은 거는 전혀 안 보는듯한데 저만 이런가요 ㅎㅎ 그리고 사람 이름 많이 나오면 정말 싫어요. 한참 읽다가 다시 앞 페이지로 넘겨서 이 사람 누구지 하며 이름 찾아보고.. 지능 문제일까요 성격 문제일까 ㅎ,2,1,1,0,1
299,entj,Se가 발달된 엔티제는 존재할까요?,"아니 entj인데 어떻게 se가 발달될 수 있나요 너무 황당해서 올려봅니다 제가 일단 se te 하이브리드이기도 하고 그거 둘 다 쓰는 외향 사고형이 유일하게 존재하는데 그것마저도 엔티 제라 너무 웃깁니다 어린 시절에는 주기능이 발달되는 시기라고 하던데 일단은 세세하게 기억은 전혀 안 나는데 자신만의 게임이나 세계관 구축하는 걸 좋아했고 은근 쾌락주의였기도 하고 청소년기에는 상징적이고 그런 것들 좋아했으니 과정을 보면 진짜 엔티 죄겠죠... 아님 원래 esfp enfp였는데 te가 성장 중에 있는 건지 일단 si, fe 가 최소 인건 거의 확실합니다",2,1,1,0,1
300,enfp,엔티제 진짜 노빠꾸네요ㅎㅎ,당황스러울 정도입니다ㅎㅎ 쉬는 날은 당연히 제가 놀아줄 거라는 자신감도요 어떻게 하다 보니 저도 당연히 그러고 있네요ㅠㅠ 근데 만나자고 확실히 안 해서 뭐인지 모르겠지만 섬 탈 때 심하다고 하던데ㅋㅋ즐겨야겠어요,1,1,1,1,0
301,intj,악몽을 너무 많이 꾸는데,어렸을 때부터 항상 악몽을 꿔왔어요. 95프로가 무언가에 쫓기는 꿈인데 놀라서 깰 때도 많고.. 그래서 잠자는 게 무서운데 정신과에 가보는 게 도움이 될까요,10,0,1,0,1
302,infp,엔티제님들 연애 번아웃오면...,그 사람이랑 너무 잘 맞고 좋긴 한데 연애하는 것 자체에 번아웃이 오면 그냥 손 놔버리나요 그 사람이 기다린다면 쉬고 재충전이 되면 돌아가나요,9,0,1,1,0
303,enfp,Intj 분들 진짜 그래요??,늑대가 intj라는데 intj분들은 제가 밑줄 친 부분처럼 생각하시나요 궁금...,1,1,1,1,0
304,estj,"Intj의 고정관념...? 낙인,,.?","intj분들 한 번 생각에 박힌 고정관념이나 이미지가 잘 바뀌는 편이 아니시겠죠,,, 아마도 제 intj 분이 저에게 이미 낙인을 찍어버린 듯한데 예를 들어 estj 나 오늘 공부했어~~ 어쩌고저쩌고 문장을 이해하기가 어렵더라 어쩌고~~ intj 공부 얼마나 했는데 ㅎㅎ 한 2장 estj 아니 꽤 많이 했는데 ㅠ 내가 그런 이미지야 ~~~ 이런 이미지요 ㅠ ㅠ 저 진짜 그런 사람 아닌데 어쩌다.., 아무튼 어떻게 해야 다른 이미지를 심어줄 수 있을까요",6,1,0,0,1
305,intp,번역) 인티제(INTJ)의 호감 신호 10가지,인티 아제들은 호감 있는 상대에게 감정을 말로 표현하기 어려워하기 때문에 다른 전략을 사용합니다. 그렇다면 사랑에 빠진 인티 아제들이 호감을 드러내는 소소한 일들은 무엇이 있을까요 직설적으로 이야기합니다 매우 세심한 선물이나 칭찬을 해줍니다 상대와 신체적 접촉을 시도합니다 상대에 대한 충성도가 매우 높습니다 상대가 가진 목표를 달성하는 것을 도와줍니다 상대를 자신의 미래 계획에 포함시킵니다 상대가 겪는 문제들을 걱정합니다 상대의 주변 환경을 개선하려고 합니다 혼자만의 시간 대신 상대와 시간을 가지려 합니다 1 상대에 대해 스스로 학습합니다,11,0,1,0,0
306,enfp,entj 남자가 미래에 대해 질문할때,예를 들면 만약에 나랑 커플링을 하게 된다면 이라던가 만약에 나랑 같이 살게 된다면 이라던가 미래에 대해 자주 이야기하곤 하는데 그냥 단순히 진짜 궁금해서 물어보는 걸까요 아니면 계획을 위함인가요 ~,1,1,1,1,0
307,enfp,Intj 에게 사랑한다 듣는법,아는 사람 있으면 알려주세요~~~ 제가 해달라고 말하는 거 말고 뭔가 먼저 사랑한다는 말 하는 거 듣고 싶은데 엔 부피의 욕심일까요 보통인 티에 님들 남자친구 여자친구에게 언제 사랑한다 해주시나요,1,1,1,1,0
308,enfj,ENTJ 재회방법...,entj와 어제 이별한 enfj입니다. 아시다시피 entj는 표현을 잘 안 하고 enfj는 표현을 중시하고 그런 것으로 한 달 동안 조금씩 다툼이 있었는데 제가 갑자기 너무 감정에 휩싸여서 헤어지자고 했습니다. 다음날 너무 미안하다고 다시 잘해보고 싶다고 했는데 똑같은 이유로 헤어질 것 같다고 그만하자고 하더라고요... 여기 글을 보니 entj는 한번 결정하면 그냥 칼같이 끝이라더라고요.. 혹시 entj가 이렇게 말했었는데도 재회해서 다시 만나 신분 있나요,0,1,1,1,1
309,intj,Entj여자의 심리 궁금,스터디를 위해 1 대 1로 처음 만났고 스터디할 거 이것저것 알려주고 또 제가 리딩 하는 거라서 이것저것 열심히 알려줬음 엄청 잘 웃고 나도 개꿀 잼 ㅋㅋㅋ 궁금한 건 커피 시키다 우연히 손을 잡고 끌던데 intj인 저의 입장에서는 손을 왜 잡지 상관없긴 한데 저는 맘에 들어도 첫 만남에 그러지 않는 터라 ㅋㅋ 또 스터디로 만난 거기도 하고 헤어질 때는 여자친구 안 사귀냐 묻기도 했는데 아직 이 사람에 대한 data가 안 쌓여서 판단을 못함 저는 개잘 맞아서 너무 꿀 잼이고 맘에 듦 ㅋㅋㅋ 근데 스터디도 꼭 끝까지 해야 함 ㅜㅜ,10,0,1,0,1
